[2023-11-22 08:22:32,733] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:22:33,205] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:22:33,425] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:22:33,506] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:22:33,716] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:22:34,643] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:22:34,875] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:30:05,108] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:30:05,324] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:31:23,344] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:31:23,371] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:33:50,117] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:33:50,353] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:37:29,091] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:37:29,106] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:37:29,308] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:37:29,308] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:39:50,473] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:40:29,642] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:40:29,643] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:40:44,107] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:40:44,346] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:40:48,119] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:40:48,352] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:45:49,490] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
